scam|สวัสดี ฉันเป็นหัวหน้าแผนกทรัพยากรบุคคลของบริษัท  บริษัท CENTRAL เรากำลังรับสมัครพนักงานนอกเวลา  สามารถทำที่บ้านและนอกบ้าน รับรายได้ 500 ถึง 3000 บาทต่อวัน งานง่ายๆและสามารถทำได้ทุกที่ทุกเวลา ต้องการอายุ23 ขึ้นไปถึง 60   เบอร์โทรมือถือ：0617875682 หากสนใจ ติดต่อสมัครได้ที่ LINE  ID：de1668
OK|ขอบคุณที่ใช้บัตรKTC X-6912  ยอด 350.00 THB @Lazada
OK|พัสดุTH03022WEREJDของคุณได้รับแจ้งยืนยันการส่งปลายทาง หากมีข้อสงสัยกรุณาคลิกลิงก์เพื่อร้องเรียน https://fle.pub/kd493d
OK|เบอร์ 0990634619 ไม่สามารถติดต่อคุณได้ 1 ครั้ง เมื่อเวลา 11:45 08/06/22
OK|เบอร์ 0990003461 ไม่สามารถติดต่อคุณได้ 1 ครั้ง เมื่อเวลา 11:45 19/06/22
OK|เบอร์ 0993963461 ไม่สามารถติดต่อคุณได้ 1 ครั้ง เมื่อเวลา 11:45 19/06/22
OK|Lazada: แจ้งเตือน มีคนลงชื่อเข้าใช้งานบัญชีของคุณบนอุปกรณ์ใหม่
OK|เรากำลังดำเนินการคืนเงิน Your refund has been processed lzd.co/93d
OK|Lazada: โปรดยืนยันตัวตนการทำรายการบนบัญชี Lazada ของคุณ ที่นี่ https://s.lazada.co.th/m.38DD
OK|สมาชิกสามารถศึกษานโยบายความเป็นส่วนตัวและใช้สิทธิ์ได้ที่ https://2g.to/XdCmdkyf/o3fxw ตรวจสอบแก้ไขข้อมูลส่วนบุคคล/การรับข่าวสารได้ที่ Blue Card แอปพลิเคชัน https://2g.to/Cmdld3/4DI สอบถามเพิ่มโทร.1365
OK|เฉพาะคุณ<NAME> กรุณากดลิงค์ www.ktc.co.th/offer/cc/9dj9jslodb ภายใน 25/05/65 เพื่อยืนยันการปรับเพิ่มวงเงินถาวรใหม่สำหรับบัตรเครดิต KTC ของคุณ จาก 90000 บาทเป็น 97500 บาท (สถานะบัตรต้องปกติตามเงื่อนไขที่กำหนด)
